=== CFS input values ===
num_process = 10
sched_latency = 48
min_granularity = 6
burst_time = [10,20,30,40,50,60,70,80,90,100]
nice_value = [0,0,0,0,0,0,0,0,0,0]
=== CFS algorithm ===
=== Step 0 ===
Process	Weight	Remain	Slice	vruntime
P9	1024	40	6	60.00
=== Step 81 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	4	6	66.00
P7	1024	14	6	66.00
P8	1024	24	6	66.00
P9	1024	34	6	66.00
=== Step 82 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	0	6	70.00
P7	1024	14	6	66.00
P8	1024	24	6	66.00
P9	1024	34	6	66.00
=== Step 83 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	0	6	70.00
P7	1024	8	6	72.00
P8	1024	24	6	66.00
P9	1024	34	6	66.00
=== Step 84 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	0	6	70.00
P7	1024	8	6	72.00
P8	1024	18	6	72.00
P9	1024	34	6	66.00
=== Step 85 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	0	6	70.00
P7	1024	8	6	72.00
P8	1024	18	6	72.00
P9	1024	28	6	72.00
=== Step 86 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	0	6	70.00
P7	1024	2	6	78.00
P8	1024	18	6	72.00
P9	1024	28	6	72.00
=== Step 87 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	0	6	70.00
P7	1024	2	6	78.00
P8	1024	12	6	78.00
P9	1024	28	6	72.00
=== Step 88 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	0	6	70.00
P7	1024	2	6	78.00
P8	1024	12	6	78.00
P9	1024	22	6	78.00
=== Step 89 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	0	6	70.00
P7	1024	0	6	80.00
P8	1024	12	6	78.00
P9	1024	22	6	78.00
=== Step 90 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	0	6	70.00
P7	1024	0	6	80.00
P8	1024	6	6	84.00
P9	1024	22	6	78.00
=== Step 91 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	0	6	70.00
P7	1024	0	6	80.00
P8	1024	6	6	84.00
P9	1024	16	6	84.00
=== Step 92 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	0	6	70.00
P7	1024	0	6	80.00
P8	1024	0	6	90.00
P9	1024	16	6	84.00
=== Step 93 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	0	6	70.00
P7	1024	0	6	80.00
P8	1024	0	6	90.00
P9	1024	10	6	90.00
=== Step 94 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	0	6	70.00
P7	1024	0	6	80.00
P8	1024	0	6	90.00
P9	1024	4	6	96.00
=== Step 95 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	0	6	70.00
P7	1024	0	6	80.00
P8	1024	0	6	90.00
P9	1024	0	6	100.00
=== Gantt chart ===
0 P0 6 P1 12 P2 18 P3 24 P4 30 P5 36 P6 42 P7 48 P8 54 P9 60 P0 64 P1 70 P2 76 P3 82 P4 88 P5 94 P6 100 P7 106 P8 112 P9 118 P1 124 P2 130 P3 136 P4 142 P5 148 P6 154 P7 160 P8 166 P9 172 P1 174 P2 180 P3 186 P4 192 P5 198 P6 204 P7 210 P8 216 P9 222 P2 228 P3 234 P4 240 P5 246 P6 252 P7 258 P8 264 P9 270 P3 276 P4 282 P5 288 P6 294 P7 300 P8 306 P9 312 P3 316 P4 322 P5 328 P6 334 P7 340 P8 346 P9 352 P4 358 P5 364 P6 370 P7 376 P8 382 P9 388 P4 390 P5 396 P6 402 P7 408 P8 414 P9 420 P5 426 P6 432 P7 438 P8 444 P9 450 P6 456 P7 462 P8 468 P9 474 P6 478 P7 484 P8 490 P9 496 P7 502 P8 508 P9 514 P7 516 P8 522 P9 528 P8 534 P9 540 P9 546 P9 550 
